id,customer_id,name,email,tier,region,updated_at
customer-001,customer-001,Customer 001,customer001@example.invalid,platinum,US,2026-09-11T00:01:00Z
customer-002,customer-002,Customer 002,customer002@example.invalid,standard,APAC,2026-09-11T00:02:00Z
customer-003,customer-003,Customer 003,customer003@example.invalid,gold,US,2026-09-11T00:03:00Z
customer-004,customer-004,Customer 004,customer004@example.invalid,standard,US,2026-09-11T00:04:00Z
customer-005,customer-005,Customer 005,customer005@example.invalid,platinum,US,2026-09-11T00:05:00Z
customer-006,customer-006,Customer 006,customer006@example.invalid,platinum,APAC,2026-09-11T00:06:00Z
customer-007,customer-007,Customer 007,customer007@example.invalid,platinum,US,2026-09-11T00:07:00Z
customer-008,customer-008,Customer 008,customer008@example.invalid,platinum,EU,2026-09-11T00:08:00Z
customer-009,customer-009,Customer 009,customer009@example.invalid,standard,US,2026-09-11T00:09:00Z
customer-010,customer-010,Customer 010,customer010@example.invalid,standard,US,2026-09-11T00:10:00Z
customer-011,customer-011,Customer 011,customer011@example.invalid,standard,APAC,2026-09-11T00:11:00Z
customer-012,customer-012,Customer 012,customer012@example.invalid,platinum,US,2026-09-11T00:12:00Z
customer-013,customer-013,Customer 013,customer013@example.invalid,platinum,US,2026-09-11T00:13:00Z
customer-014,customer-014,Customer 014,customer014@example.invalid,platinum,APAC,2026-09-11T00:14:00Z
customer-015,customer-015,Customer 015,customer015@example.invalid,platinum,APAC,2026-09-11T00:15:00Z
customer-016,customer-016,Customer 016,customer016@example.invalid,gold,US,2026-09-11T00:16:00Z
customer-017,customer-017,Customer 017,customer017@example.invalid,gold,APAC,2026-09-11T00:17:00Z
customer-018,customer-018,Customer 018,customer018@example.invalid,gold,US,2026-09-11T00:18:00Z
customer-019,customer-019,Customer 019,customer019@example.invalid,standard,APAC,2026-09-11T00:19:00Z
customer-020,customer-020,Customer 020,customer020@example.invalid,gold,EU,2026-09-11T00:20:00Z
customer-021,customer-021,Customer 021,customer021@example.invalid,gold,US,2026-09-11T00:21:00Z
customer-022,customer-022,Customer 022,customer022@example.invalid,standard,EU,2026-09-11T00:22:00Z
customer-023,customer-023,Customer 023,customer023@example.invalid,standard,US,2026-09-11T00:23:00Z
customer-024,customer-024,Customer 024,customer024@example.invalid,gold,US,2026-09-11T00:24:00Z
customer-025,customer-025,Customer 025,customer025@example.invalid,gold,EU,2026-09-11T00:25:00Z
customer-026,customer-026,Customer 026,customer026@example.invalid,platinum,EU,2026-09-11T00:26:00Z
customer-027,customer-027,Customer 027,customer027@example.invalid,standard,APAC,2026-09-11T00:27:00Z
customer-028,customer-028,Customer 028,customer028@example.invalid,gold,APAC,2026-09-11T00:28:00Z
customer-029,customer-029,Customer 029,customer029@example.invalid,standard,EU,2026-09-11T00:29:00Z
